result,answer,seido,saigen,Fscore
"['あいづ', '、', '何', 'しっ', 'たな', 'や']","['あいづ', '、.何', 'しっ', 'た', 'な', 'や']",0.16666666666666666,0.16666666666666666,0.16666666666666666
"['あいづ', '、', '取っ', 'て', 'けろ']","['あいづ', '、', '取っ', 'て', 'けろ']",1.0,1.0,1.0
"['あぐど', 'いだい']","['あぐど', 'いだい']",1.0,1.0,1.0
"['あ', 'ぐ', 'どい', 'だ', 'ぐ', 'ねぇ', 'が']","['あぐど', 'いだ', 'ぐ', 'ねぇ', 'が']",0.42857142857142855,0.6,0.5
"['あ', 'だ', 'ま', 'かなり', 'やめる']","['あだま', 'かなり', 'やめる']",0.4,0.6666666666666666,0.5
"['あだま', 'やめ', 'で', 'しゃーまし', 'する']","['あだま', 'やめ', 'で', 'しゃーまし', 'する']",1.0,1.0,1.0
"['あ', 'だ', 'ま', 'やめる']","['あだま', 'やめる']",0.25,0.5,0.3333333333333333
"['あ', 'づ', 'ぐ', 'ね', 'え', 'が']","['あづく', 'ねえ', 'が']",0.16666666666666666,0.3333333333333333,0.2222222222222222
"['あっ', 'たけ', 'ぇ', 'お茶', 'くだい']","['あったけぇ', 'お茶', 'くだい']",0.4,0.6666666666666666,0.5
"['あ', 'ど', 'で', '看護', '師', 'に', '診', 'て', 'もらう', 'べ']","['あど', 'で', '看護', '師', 'に', '診', 'て', 'もらう', 'べ']",0.8,0.8888888888888888,0.8421052631578948
['あんじゃん'],['あんじゃん'],1.0,1.0,1.0
['おしょうしな'],['おしょうしな'],1.0,1.0,1.0
"['いだい', 'がら', 'や', 'さしぐし', 'て', 'けろ', 'な']","['いだい', 'がら', 'やさしぐ', 'し', 'て', 'けろ', 'な']",0.7142857142857143,0.7142857142857143,0.7142857142857143
"['いだい', 'がら', '湿布', '出し', 'て', 'けんにぇが']","['いだい', 'がら', '湿布', '出し', 'て', 'けん', 'にぇ', 'が']",0.8333333333333334,0.625,0.7142857142857143
"['いだい', 'がら', '薬', 'くだい']","['いだい', 'がら', '薬', 'くだい']",1.0,1.0,1.0
"['いだい', 'がら', '薬', 'もらい', 'だ', 'い']","['いだい', 'がら', '薬', 'もらい', 'だい']",0.6666666666666666,0.8,0.7272727272727272
"['いだい', 'がら', '薬', 'もらわれっか']","['いだい', 'がら', '薬', 'もらわ', 'れっ', 'か']",0.75,0.5,0.6
"['いだく', 'て', 'いだく', 'て', '、', 'しゃーまし', 'しっ', 'た', '一']","['いだく', 'て', 'いだく', 'て', '、', 'しゃーまし', 'しったー']",0.6666666666666666,0.8571428571428571,0.75
"['いだく', 'て', 'しょーね', 'なー']","['いだく', 'て', 'しょーね', 'なー']",1.0,1.0,1.0
"['いだく', 'て', 'そげな', 'ごど', 'さんにぇ']","['いだく', 'て', 'そげな', 'ごど', 'さんにぇ']",1.0,1.0,1.0
"['いだく', 'て', 'ひしゃまし', 'しった']","['いだく', 'て', 'ひしゃまし', 'しった']",1.0,1.0,1.0
"['いだく', 'て', 'まいっ', 'た']","['いだく', 'て', 'まいっ', 'た']",1.0,1.0,1.0
"['いだく', 'て', 'わがんね', 'な', 'よー']","['いだく', 'で', 'わがんね', 'な', 'よー']",0.8,0.8,0.8000000000000002
"['いだく', 'て', '我慢', 'さんにぇ']","['いだく', 'て', '我慢', 'さんにぇ']",1.0,1.0,1.0
"['いだく', 'て', '座ら', 'ん', 'にぇ']","['いだく', 'て', '座ら', 'ん', 'にぇ']",1.0,1.0,1.0
"['う', 'ぢ', 'さ', '帰り', 'でぇ']","['うぢ', 'さ', '帰り', 'でぇ']",0.6,0.75,0.6666666666666665
"['うま', 'がっ', 'た', 'ず']","['うまがっ', 'た', 'ず']",0.5,0.6666666666666666,0.5714285714285715
"['うん', 'とい', 'でぇ']","['うんと', 'いでぇ']",0.0,0.0,0
"['エプロン', 'すっ', 'か', '？']","['エプロン', 'すっ', 'か', '？']",1.0,1.0,1.0
"['エプロン', '使う', 'が', '？']","['エプロン', '使う', 'が', '？']",1.0,1.0,1.0
"['おかげ', 'で', '、', 'よっぽど', 'いぐ', 'なっ', 'た']","['おかげ', 'で', 'よっぽど', 'いぐ', 'なっ', 'た']",0.2857142857142857,0.3333333333333333,0.30769230769230765
"['おかげ', 'で', '助かっ', 'た']","['おかげで', '助かっ', 'た']",0.5,0.6666666666666666,0.5714285714285715
"['おだち', 'し', 'て', 'くだい']","['おだち', 'し', 'て', 'くだい']",1.0,1.0,1.0
"['おれ', 'の', '孫', '、', 'い', 'づつ', 'だ', 'な']","['おれ', 'の', '孫', 'いづつ', 'だ', 'な']",0.375,0.5,0.42857142857142855
"['おれ', '元気', 'だ', 'ず']","['おれ', '元気', 'だず']",0.5,0.6666666666666666,0.5714285714285715
"['お', 'わいな', 'っと', 'ぐ', 'やぇ']","['おわいなっと', 'ぐやぇ']",0.0,0.0,0
"['か', 'いく', 'て', '、', 'か', 'いく', 'て', '、', 'たまん', 'ね']","['かいく', 'て', 'かいく', 'て', 'たまん', 'ね']",0.1,0.16666666666666666,0.125
"['かぶっ', 'たら', '、', '左手', 'がら', '袖', '通し', 'て', 'けろ']","['かぶっ', 'たら', '、', '左手', 'がら', '袖', '通し', 'て', 'けろ']",1.0,1.0,1.0
"['けっ', 'つい', 'でぇ']","['けっつ', 'いでぇ']",0.0,0.0,0
"['こいづ', '、', '洗濯', 'さ', '出し', 'て', 'いい', 'が', '？']","['こいづ', '、', '洗濯', 'さ', '出し', 'て', 'いい', 'が', '？']",1.0,1.0,1.0
"['こいづ', 'いい', 'がら', '、', 'かわ', 'ね', 'が']","['こいづ', 'いい', 'がら', 'かわ', 'ね', 'が']",0.42857142857142855,0.5,0.4615384615384615
"['こいづ', 'なんぼ', 'や', '？']","['こいづ', 'なんぼ', 'や', '？']",1.0,1.0,1.0
"['こがな', 'も', 'の', 'いら', 'ね']","['こがな', 'もの', 'いら', 'ね']",0.6,0.75,0.6666666666666665
"['この', 'タオル', '外し', 'て', 'いい', 'が', '？', 'かご', 'さ', 'いっちょ', 'ぐ', 'ぞ']","['この', 'タオル', '外し', 'て', 'いい', 'べ', 'が', '？', 'かご', 'さ', 'いっちょ', 'ぐ', 'ぞ']",0.4166666666666667,0.38461538461538464,0.4
"['これ', 'がら', '服', '脱い', 'で', '、', 'シャワー', '浴', 'び', 'で', '体', '洗う', 'んだ', 'げど', '、', 'いい', 'べ', 'が', '？']","['これがら', '服', '脱い', 'で', '、', 'シャワー', '浴び', 'で', '体', '洗う', 'ん', 'だげど', 'いい', 'べ', 'が', '？']",0.42105263157894735,0.5,0.45714285714285713
"['こわ', 'ぐ', 'ね', 'え', 'が', '？']","['こわぐ', 'ねえ', 'が', '?']",0.16666666666666666,0.25,0.2
"['したっぱ', 'ら', 'いだく', 'て', 'そげな', 'ごど', 'さんにぇ']","['したっぱら', 'いだく', 'て', 'そげな', 'こど', 'さんにぇ']",0.5714285714285714,0.6666666666666666,0.6153846153846153
"['したっぱ', 'ら', 'いだく', 'て', '座ら', 'ん', 'に', 'ぇ', 'ー']","['したっぱら', 'いだく', 'て', '座ら', 'ん', 'にぇ', 'ー']",0.5555555555555556,0.7142857142857143,0.6250000000000001
"['シャワー', '40', '℃', 'に', 'し', 'たげん', 'ど', '、', 'あ', 'づ', 'ぐ', 'ねぇ', 'が', '、', '確認', 'し', 'て', 'けろ']","['シャワー', '40', '℃', 'に', 'した', 'げん', 'ど', '、', 'あづ', 'ぐ', 'ねぇ', 'が', '、', '確認し', 'て', 'けろ']",0.6666666666666666,0.75,0.7058823529411765
"['ズボン', '替', 'えっ', 'ぺ']","['ズボン', '替えっ', 'べ']",0.25,0.3333333333333333,0.28571428571428575
"['スリッパ', '脱い', 'で', '、', 'こご', 'さ', '腰', 'かげ', 'で', 'けん', 'に', 'が']","['スリッパ', '脱い', 'で', '、', 'こご', 'さ', '腰', 'かげ', 'で', 'けんに', 'が']",0.8333333333333334,0.9090909090909091,0.8695652173913043
"['そ', 'いづ', '繰り返し', 'な', 'がら', 'ゆっくり', '下り', 'で', 'みっ', 'ぺ', '。']","['そいづ', '繰り返し', 'ながら', 'ゆっくり', '下り', 'で', 'みっ', 'ぺ', '。']",0.6363636363636364,0.7777777777777778,0.7000000000000001
"['そご', 'さ', '、', '座っ', 'とご', 'やぇ']","['そご', 'さ', '座っ', 'と', 'ごやぇ']",0.3333333333333333,0.4,0.3636363636363636
"['そご', 'さ', '座っ', 'て', 'けろ']","['そこ', 'さ', '座っ', 'て', 'けろ']",0.8,0.8,0.8000000000000002
"['そご', 'の', '角', '、', '右', 'さ', 'むじっ', 'て']","['そご', 'の', '角', '、', '右', 'さ', 'むじっ', 'て']",1.0,1.0,1.0
"['そろそろ', '食堂', 'さ', '行', 'ぎ', 'でぇ']","['そろそろ', '食堂', 'さ', '行ぎ', 'でぇ']",0.6666666666666666,0.8,0.7272727272727272
"['ちょっと', 'くた', 'びっちゃ']","['ちょっと', 'くたび', 'っちゃ']",0.3333333333333333,0.3333333333333333,0.3333333333333333
"['ちょっと', '頭', '上げ', 'で', 'み', 'で']","['ちょっと', '頭', '上げ', 'で', 'み', 'で']",1.0,1.0,1.0
"['ちょぴっと', 'あだま', 'やめる']","['ちょぴっと', 'あだま', 'やめる']",1.0,1.0,1.0
"['てぇ', 'や', 'げど', 'し', 'た']","['てぇ', 'やげど', 'した']",0.2,0.3333333333333333,0.25
"['てづだっ', 'て', 'けん', 'に', 'が', '？']","['てづだっ', 'て', 'けん', 'に', 'が', '?']",0.8333333333333334,0.8333333333333334,0.8333333333333334
"['トイレット', 'ペーパー', '、', 'こさ', '置い', 'どっ', 'から', 'な']","['トイレットペーパー', '、', 'こさ', '置い', 'どっ', 'から']",0.625,0.8333333333333334,0.7142857142857143
"['どう', 'ぞ', '、', 'あがっ', 'とぐ', 'やぇ']","['どうぞ', '、', 'あがっと', 'ぐやぇ']",0.16666666666666666,0.25,0.2
"['ど', 'ご', 'さ行', 'ぐ', 'な', 'や', '？']","['どご', 'さ', '行ぐ', 'な', 'や?']",0.14285714285714285,0.2,0.16666666666666666
"['どさ', 'いぐ', 'な', 'や', '？']","['どさ', 'いぐ', 'な', 'や', '?']",0.8,0.8,0.8000000000000002
"['ながなが', '、', 'うま', 'ぐ', 'で', 'ぎ', 'ねぇ']","['ながなが', 'うまぐ', 'でぎ', 'ねぇ']",0.14285714285714285,0.25,0.18181818181818182
"['な', 'じょし', 'た', '？']","['なじょ', 'した', '？']",0.25,0.3333333333333333,0.28571428571428575
"['な', 'んだが', '腹', '減っ', 'た']","['なんだが', '腹', '減っ', 'た']",0.6,0.75,0.6666666666666665
"['パジャマ', '脱ぐ', 'べ', '。', '右手', 'がら', '脱い', 'で', 'もらう', 'が']","['パジャマ', '脱ぐ', 'べ', '。右手', 'がら', '脱い', 'で', 'もらう', 'が']",0.8,0.8888888888888888,0.8421052631578948
"['ひざかぶ', 'ずきずき', 'する']","['ひざかぶ', 'ずきずき', 'する']",1.0,1.0,1.0
"['ふらふら', 'し', 'ねぇ', 'が', '？', '具合', '悪', 'ぐ', 'ね', 'え', 'が', '？']","['ふらふら', 'し', 'ねえ', 'が', '？', '具合', '悪く', 'ねえ', 'が', '？']",0.5833333333333334,0.7,0.6363636363636365
"['ふらふら', 'しね', 'え', 'が', '？', '足', 'さ', '力', 'いっちぇ', 'ちゃんと', '座っ', 'て', 'けろ']","['ふらふら', 'し', 'ねえ', 'が', '？', '足', 'さ', '力', 'いっちぇ', 'ちゃんと', '座っ', 'て', 'けろ']",0.8461538461538461,0.8461538461538461,0.8461538461538461
"['ブレーキ', 'かけ', 'て', 'けろ']","['ブレーキ', 'かけ', 'て', 'けろ']",1.0,1.0,1.0
"['べろ', 'いだい']","['べろ', 'いだい']",1.0,1.0,1.0
"['便所', 'さいぎ', 'だ', 'ぐ', 'な', 'っから', '、', '飲み', 'だ', 'ぐ', 'ねぇ']","['便所', 'さ', 'いぎ', 'だぐ', 'なっから', '\x08、', '飲み', 'だぐ', 'ねぇ']",0.09090909090909091,0.1111111111111111,0.09999999999999999
"['便所', 'さいぎ', 'でぇ']","['便所', 'さ', 'いぎ', 'でぇ']",0.6666666666666666,0.5,0.5714285714285715
"['便所', 'さ', 'いっ', 'て', '、', 'しょんべん', 'し', 'て', 'き', 'た']","['便所', 'さ', 'いって', '、', 'しょんべん', 'し', 'て', 'き', 'た']",0.8,0.8888888888888888,0.8421052631578948
"['便所', 'さ', '行', 'が', 'ね', 'た', 'って', 'いい', 'が', '？']","['便所', 'さ', 'いが', 'ね', 'たって', 'いい', 'が', '?']",0.5,0.625,0.5555555555555556
"['ほんじゃ', '、', 'カーテン', '閉め', 'て', 'お', 'ぐ', 'から', 'な']","['ほんじゃ', '、', 'カーテン', '閉め', 'て', 'おぐ', 'から', 'な']",0.7777777777777778,0.875,0.823529411764706
"['ほんじゃ', '、', 'ゆっくり', 'あったまっ', 'て', 'けろ']","['ほんじゃ', '、ゆっくり', 'あったまっ', 'て', 'けろ']",0.6666666666666666,0.8,0.7272727272727272
"['ほんじゃ', '、', '今', 'から', '歩い', 'で', 'い', 'が', 'れっか', '。', '風呂場', 'まで', '床', '濡れ', 'てっ', 'から', '気', 'ぃ', 'つけろ', 'よ']","['ほんじゃ', '、', '今', 'から', '歩い', 'で', 'いがれっ', 'か', '。', '風呂場', 'まで', '床', '濡れ', 'てっ', 'から', '気ぃ', 'つけ', 'ろ', 'よ']",0.7,0.7368421052631579,0.717948717948718
"['まず', '、', 'ブレーキ', 'かげ', 'で', 'もらっ', 'て', 'いい', 'べ', 'か']","['まず', '、', 'ブレーキ', 'かげ', 'で', 'もらっ', 'て', 'いい', 'べ', 'か']",1.0,1.0,1.0
"['むぐし', 'そう', 'だ']","['むぐし', 'そう', 'だ']",1.0,1.0,1.0
"['もう', 'あ', 'だ', 'まいっ', 'だ', 'く', 'ねえ']","['もう', 'あだま', 'いっだく', 'ねえ']",0.2857142857142857,0.5,0.36363636363636365
"['ゆんべ', 'は', 'よ', 'ぐ', 'ねらっ', 'ちゃ', 'が']","['ゆんべ', 'は', 'よぐ', 'ねらっ', 'ちゃ', 'が']",0.7142857142857143,0.8333333333333334,0.7692307692307692
"['よ', 'ぐ', 'ご', 'ざた', 'なっ', 'し']","['よぐ', 'ござ', 'た', 'なっし']",0.0,0.0,0
"['よ', 'ぐ', '眠ら', 'っちゃ']","['よぐ', '眠ら', 'っ', 'ちゃ']",0.25,0.25,0.25
"['よごっぱら', 'きりきり', 'いだい']","['よごっぱら', 'きりきり', 'いだい']",1.0,1.0,1.0
"['よごっばら', 'やめる']","['よごっばら', 'やめる']",1.0,1.0,1.0
"['リハビリ', '頑張っ', 'てん', 'なー', '。', 'ちぃっと', '歩', 'が', 'れる', 'よう', 'に', 'なっ', 'て', 'いがっ', 'た', 'なー', '。', 'これ', 'が', 'ら', 'も', '頑張っ', 'ぺ', 'な']","['リハビリ', '頑張っ', 'て', 'ん', 'な', 'ー', '。', 'ちぃっと', '歩が', 'れる', 'よう', 'に', 'なっ', 'て', 'いがった', 'な', 'ー', '。', 'これがら', 'も', '頑張っ', 'ぺ', 'な']",0.5833333333333334,0.6086956521739131,0.5957446808510638
"['わぎばら', 'きりきり', 'いだい']","['わぎばら', 'きりきり', 'いだい']",1.0,1.0,1.0
"['んじゃ', '、', 'お', '湯', '左足', 'がら', 'かけ', 'て', '。', 'あ', 'づ', 'ぐ', 'ねぇ', 'が', '？']","['んじゃ', '、', 'お湯', '左足', 'がら', 'かけ', 'て', '。', 'あづぐ', 'ねぇ', 'が', '？']",0.6666666666666666,0.8333333333333334,0.7407407407407408
